punkt,text
PSR_190.,"При использовании пара для прогрева инертных материалов, находящихся в бункерах или других емкостях, следует применять меры, предотвращающие проникновение пара в рабочие помещения.
Спуск работников в камеры, обогреваемые паром, допускается после отключения подачи пара, а также охлаждения камеры и находящихся в ней материалов и изделий до температуры менее 40°С."
PSR_191.,"Размещение на опалубке оборудования и материалов, не предусмотренных организационно-технологической документацией, а также нахождение работников, непосредственно не участвующих в производстве работ на установленных конструкциях опалубки, не допускается."
PSR_192.,"Для перехода работников с одного рабочего места на другое необходимо применять лестницы, переходные мостики и трапы."
PSR_193.,После отсечения части скользящей опалубки и подвесных лесов торцевые стороны должны быть ограждены.
PSR_194.,"Для защиты работников от падения предметов на подвесных лесах по наружному периметру скользящей и переставной опалубки следует устанавливать ""козырьки"" шириной не менее ширины лесов."
PSR_195.,"Ходить по уложенной арматуре допускается только по специальным настилам шириной не менее 0,6 м, уложенным на арматурный каркас."
PSR_196.,"На участках натяжения арматуры в местах прохода людей должны быть установлены защитные ограждения высотой не менее 1,8 м.
Устройства для натяжения арматуры должны быть оборудованы сигнализацией, приводимой в действие при включении привода натяжного устройства.
Запрещается пребывание работников на расстоянии ближе 1 м от арматурных стержней, нагреваемых электротоком."
PSR_197.,При применении бетонных смесей с химическими добавками следует использовать защитные перчатки и очки.
PSR_198.,"Работники, укладывающие бетонную смесь на поверхности, имеющей уклон более 20°, должны пользоваться соответствующими системами обеспечения безопасности работ на высоте."
PSR_199.,"Эстакада для подачи бетонной смеси автосамосвалами должна быть оборудована отбойными брусьями. Между отбойными брусьями и ограждениями должны быть предусмотрены проходы шириной не менее 0,6 м. На тупиковых эстакадах должны быть установлены поперечные отбойные брусья.
При очистке кузова автосамосвала от остатков бетонной смеси работникам запрещается находиться в его кузове."
PSR_200.,Заготовка и укрупнительная сборка арматуры должны выполняться в специально предназначенных для этого местах.
PSR_201.,"Зона электропрогрева бетона должна иметь защитное ограждение, световую сигнализацию и знаки безопасности."
PSR_202.,"Работа смесительных машин должна осуществляться при соблюдении следующих требований:
1) очистка приямков для загрузочных ковшей должна осуществляться после надежного закрепления ковша в поднятом положении;
2) очистка барабанов и корыт смесительных машин допускается только после остановки машины и снятия напряжения."
PSR_203.,"При выполнении работ по заготовке арматуры необходимо:
1) устанавливать защитные ограждения рабочих мест, предназначенные для разматывания бухт (мотков) и выправления арматуры;
2) при резке станками стержней арматуры на отрезки длиной менее 0,3 м применять приспособления, предупреждающие их разлет;
3) устанавливать защитные ограждения рабочих мест при обработке стержней арматуры, выступающей за габариты верстака, а у двусторонних верстаков, кроме того, разделять верстак посередине продольной металлической предохранительной сеткой высотой не менее 1 м;
4) складывать заготовленную арматуру в специально отведенные для этого места;
5) закрывать щитами торцевые части стержней арматуры в местах общих проходов, имеющих ширину менее 1 м."
PSR_204.,"Элементы каркасов арматуры необходимо пакетировать с учетом условий их подъема, складирования и транспортировки к месту монтажа."
PSR_205.,Перемещение загруженного или порожнего бункера (бадьи) разрешается только при закрытом затворе.
PSR_206.,Перед началом укладки бетонной смеси виброхоботом необходимо проверять исправность и надежность закрепления его звеньев между собой и к страховочному канату.
PSR_207.,"При подаче бетона с помощью бетононасоса необходимо:
1) удалять работников от бетоновода на время продувки на расстояние не менее 10 м;
2) укладывать бетоноводы на прокладки для снижения воздействия динамической нагрузки на арматурный каркас и опалубку при подаче бетона."
PSR_208.,"Удаление пробки в бетоноводе сжатым воздухом допускается при условии:
1) наличия защитного щита у выходного отверстия бетоновода;
2) нахождения работников на расстоянии не менее 10 м от выходного отверстия бетоновода;
3) осуществления подачи воздуха в бетоновод равномерно, не превышая допустимого давления.
При невозможности удаления пробки в бетоноводе следует снять в нем давление, простукиванием найти место нахождения пробки, расстыковать бетоновод и удалить пробку или заменить засоренное звено."
PSR_209.,При установке элементов опалубки в несколько ярусов каждый последующий ярус следует устанавливать после закрепления нижнего яруса.
PSR_210.,"Разборка опалубки должна производиться после достижения бетоном заданной прочности.
Минимальная прочность бетона при распалубке загруженных конструкций, в том числе от собственной нагрузки, определяется организационно-технологической документацией и согласовывается с проектной организацией."
PSR_211.,"При разборке опалубки необходимо принимать меры против случайного падения элементов опалубки, обрушения поддерживающих строительных лесов и конструкций."
PSR_212.,"При перемещении секций опалубки и передвижных строительных лесов необходимо принимать меры, обеспечивающие безопасность работников. Работникам, не участвующим в этой операции, находиться на секциях опалубки или передвижных строительных лесах запрещается."
PSR_213.,"При уплотнении бетонной смеси электровибраторами перемещать его за токоведущие кабели не допускается, а при перерывах в работе и при переходе с одного места на другое электровибраторы необходимо выключать."
PSR_214.,При устройстве технологических отверстий для пропуска трубопроводов в бетонных и железобетонных конструкциях алмазными кольцевыми сверлами необходимо на месте ожидаемого падения керна оградить опасную зону.
PSR_215.,"При электропрогреве бетона монтаж и присоединение электрооборудования к питающей сети должны выполнять работники из числа электротехнического персонала, имеющие группу по электробезопасности не ниже III."
PSR_216.,"В зоне электропрогрева необходимо применять изолированные гибкие кабели или провода в защитном шланге. Не допускается прокладывать провода непосредственно по грунту или по слою опилок, а также провода с нарушенной изоляцией."
PSR_217.,"Зона электропрогрева бетона должна находиться под круглосуточным наблюдением электромонтеров, выполняющих монтаж электросети.
Пребывание работников и выполнение работ на этих участках не допускается, за исключением работ, выполняемых по наряду-допуску в соответствии с правилами по охране труда при эксплуатации электроустановок, утверждаемыми Минтрудом России в соответствии с подпунктом 5.2.28 Положения о Министерстве труда и социальной защиты Российской Федерации."
PSR_218.,"Открытая (незабетонированная) арматура железобетонных конструкций, связанная с участком, находящимся под электропрогревом, подлежит заземлению (занулению)."
PSR_219.,"После каждого перемещения электрооборудования, применяемого при прогреве бетона, на новое место следует измерить сопротивление изоляции мегаомметром."
PSR_220.,"Работодатель обязан в рамках СУОТ проанализировать опасности и их источники, представляющие угрозу жизни и здоровью работников при монтаже элементов конструкций, трубопроводов и оборудования (далее - выполнение монтажных работ)."
PSR_221.,"При наличии профессиональных рисков, вызванных установленными опасностями, безопасность монтажных работ должна быть обеспечена на основе выполнения требований по охране труда, содержащихся в проектной и организационно-технологической документации на строительное производство:
1) определение марки кранового оборудования, его грузо-высотных характеристик, мест установки и опасных зон при его работе, технические способы его безопасной установки, способы подъема и установки монтируемых несущих конструкций, исключающие их дисбаланс, неустойчивость или перекашивание в процессе этих операций;
2) обеспечение безопасности рабочих мест на высоте;
3) определение последовательности установки конструкций;
4) обеспечение устойчивости конструкций и частей здания в процессе сборки;
5) определение схем и способов укрупнительной сборки элементов конструкций;
6) порядок (последовательность) монтажа элементов конструкции с целью исключения их обрушения в результате потери устойчивости;
7) применение лестниц, настилов, подмостей, платформ, подъемных клетей, монтажных люлек и других аналогичных средств, ограждений, мобильных рабочих платформ."
PSR_222.,"На участке (захватке), на котором выполняются монтажные работы, не допускается выполнение других работ и нахождение посторонних лиц."
PSR_223.,"При возведении зданий и сооружений запрещается выполнять работы, связанные с нахождением людей в одной захватке (участке) на этажах (ярусах), над которыми производятся перемещение, установка и временное закрепление элементов сборных конструкций и оборудования.
При невозможности разбивки зданий и сооружений на отдельные захватки (участки) одновременное выполнение монтажных и других строительных работ на разных этажах (ярусах) допускается только в случаях, предусмотренных организационно-технологической документацией, при наличии между ними надежных (обоснованных соответствующим расчетом на действие ударных нагрузок) междуэтажных перекрытий."
PSR_224.,"Использование установленных конструкций для прикрепления к ним грузовых полиспастов, отводных блоков и других монтажных приспособлений допускается только при согласовании с проектной организацией, выполнившей рабочие чертежи конструкций."
PSR_225.,"Монтаж конструкций зданий (сооружений) следует начинать с пространственно-устойчивой части (связевой ячейки, ядра жесткости и другой)."
PSR_226.,"Монтаж конструкций каждого вышележащего этажа (яруса) многоэтажного здания следует производить после закрепления установленных монтажных элементов по проекту и затвердевания бетона (раствора) в стыках несущих конструкций до прочности, указанной в организационно-технологической документации."
PSR_227.,"Окраску и антикоррозионную защиту конструкций и оборудования в случаях, когда они выполняются на строительной площадке, следует производить до их подъема на проектную отметку. После подъема производить окраску или антикоррозионную защиту следует только в местах стыков и соединений конструкций."
PSR_228.,"Распаковка и расконсервация подлежащего монтажу оборудования должны производиться в зоне, отведенной в соответствии с организационно-технологической документацией, и осуществляться на специальных стеллажах или прокладках высотой не менее 1 м.
При расконсервации оборудования не допускается применение материалов со взрывопожароопасными свойствами."
PSR_229.,При монтаже каркасных зданий устанавливать последующий ярус каркаса допускается только после установки ограждающих конструкций или временных ограждений на предыдущем ярусе.
PSR_230.,"Монтаж лестничных маршей и площадок зданий (сооружений), а также грузопассажирских строительных подъемников (лифтов) должен осуществляться одновременно с монтажом конструкций здания. На смонтированных лестничных маршах следует незамедлительно устанавливать ограждения."
PSR_231.,"В процессе монтажа конструкций зданий или сооружений монтажники должны находиться на ранее установленных и закрепленных конструкциях или средствах подмащивания.
Запрещается пребывание работников на элементах конструкций и оборудования во время их подъема и перемещения."
PSR_232.,"Навесные монтажные площадки, лестницы и другие приспособления, необходимые работникам для работы на высоте, следует устанавливать на монтируемых конструкциях до их подъема."
PSR_233.,"Для перехода работников с одной конструкции на другую следует применять лестницы, переходные мостики и трапы, имеющие ограждения."
PSR_234.,"Запрещается переход монтажников по установленным конструкциям и их элементам (фермам, ригелям и другим), на которых невозможно обеспечить требуемую ширину прохода (не менее 0,4 м) при установленных ограждениях, без применения страховочной системы.
Места, способ крепления каната и длина его участков должны быть указаны в организационно-технологической документации на строительное производство."
PSR_235.,"Монтаж ограждающих панелей должен производиться с применением соответствующих систем обеспечения безопасности работ на высоте, указанных в организационно-технологической документации."
PSR_236.,"Не допускается нахождение работников под монтируемыми элементами конструкций и оборудования до установки их в проектное положение.
При необходимости нахождения работников под монтируемым оборудованием (конструкциями) должны осуществляться специальные мероприятия, обеспечивающие безопасность работников."
PSR_237.,"Навесные металлические лестницы высотой более 5 м должны быть оборудованы вертикальным стальным страховочным канатом диаметром не менее 6 мм с ловителем для закрепления карабина страховочной привязи или ограждены металлическими дугами с вертикальными связями, а также прикреплены к конструкциям или оборудованию. Подъем работников по навесным лестницам на высоту более 10 м допускается в том случае, если лестницы оборудованы площадками отдыха не реже чем через каждые 10 м по высоте."
PSR_238.,"Расчалки для временного закрепления монтируемых конструкций должны быть прикреплены к опорам. Количество расчалок, их материалы и сечение, способы натяжения и места закрепления устанавливаются организационно-технологической документацией.
Расчалки должны быть расположены за пределами габаритов движения транспорта и строительных машин. Расчалки не должны касаться острых углов других конструкций. Перегибание расчалок в местах соприкосновения их с элементами других конструкций допускается лишь после проверки прочности и устойчивости этих элементов под воздействием усилий от расчалок."
PSR_239.,Элементы монтируемых конструкций или оборудования во время перемещения должны удерживаться от раскачивания и вращения гибкими оттяжками.
PSR_240.,"Строповку конструкций и оборудования необходимо производить средствами, обеспечивающими возможность дистанционной расстроповки с рабочего горизонта в случаях, когда высота до замка грузозахватного средства превышает 2 м."
PSR_241.,"До начала выполнения монтажных работ необходимо установить порядок обмена сигналами между работником, руководящим монтажом, и машинистом подъемного сооружения. Сигналы должны подаваться сигнальщиком из числа стропальщиков, назначаемым работником, ответственным за безопасное производство работ с применением подъемных сооружений, кроме сигнала ""Стоп"", который может быть подан любым работником, заметившим опасность.
В особо ответственных случаях (при подъеме конструкций с применением сложного такелажа, метода поворота, при надвижке крупногабаритных и тяжелых конструкций, при подъеме их двумя или более механизмами) работы по перемещению грузов должны производиться под непосредственным руководством работника, ответственного за безопасное производство работ с применением подъемных сооружений."
PSR_242.,"Строповку монтируемых элементов следует производить в местах, указанных в рабочих чертежах, и обеспечить их подъем и подачу к месту установки в положении, близком к проектному.
Запрещается подъем элементов строительных конструкций, не имеющих монтажных петель, отверстий или маркировки и меток, обеспечивающих их строповку и монтаж."
PSR_243.,Очистку подлежащих монтажу элементов конструкций от грязи и наледи необходимо производить до их подъема.
PSR_244.,"Монтируемые элементы следует поднимать плавно, без рывков, раскачивания и вращения.
Поднимать конструкции следует в два приема: сначала на высоту от 20 см до 30 см, затем после проверки надежности строповки производить дальнейший подъем."
PSR_245.,Во время перерывов в работе не допускается оставлять поднятые элементы конструкций и оборудования на весу.
PSR_246.,"Установленные в проектное положение элементы конструкций или оборудования должны быть закреплены так, чтобы обеспечивалась их устойчивость и геометрическая неизменяемость.
Расстроповку элементов конструкций и оборудования, установленных в проектное положение, следует производить после постоянного или временного их закрепления согласно проекту. Перемещать установленные элементы конструкций или оборудования после их расстроповки, за исключением случаев использования монтажной оснастки, предусмотренных организационно-технологической документацией, не допускается."
PSR_247.,"До окончания выверки и закрепления установленных элементов не допускается опирание на них вышерасположенных конструкций, если это не предусмотрено организационно-технологической документацией."
PSR_248.,"Запрещается выполнять монтажные работы на высоте в открытых местах при скорости ветра 10 м/с и более, при гололеде, грозе или тумане, исключающих видимость в пределах фронта работ.
Работы по перемещению и установке вертикальных панелей и подобных им конструкций с большой парусностью необходимо прекращать при скорости ветра 6 м/с и более."
PSR_249.,При монтаже конструкций из рулонных заготовок должны приниматься меры против самопроизвольного сворачивания рулона.
PSR_250.,"При сборке горизонтальных цилиндрических емкостей, состоящих из отдельных царг, должны применяться клиновые прокладки и другие приспособления, исключающие возможность самопроизвольного скатывания царг."
PSR_251.,Укрупнительная сборка и доизготовление подлежащих монтажу конструкций и оборудования должны выполняться в специально предназначенных для этого местах.
PSR_252.,"Перемещение конструкций или оборудования несколькими подъемными или тяговыми средствами необходимо осуществлять согласно организационно-технологической документации под непосредственным руководством работников, ответственных за безопасное производство работ с применением подъемных сооружений. При этом нагрузка, приходящаяся на каждое подъемное или тяговое средство не должна превышать его грузоподъемности."
PSR_253.,"Работодатель обязан в рамках СУОТ с учетом пункта 5 Правил проанализировать опасности и их источники, представляющие угрозу жизни и здоровью работников при выполнении каменных работ."
PSR_254.,"При наличии профессиональных рисков, вызванных установленными опасностями, безопасность каменных работ должна быть обеспечена на основе выполнения требований, содержащихся в проектной и организационно-технологической документации на строительное производство:
1) организация рабочих мест с указанием конструкции и места установки необходимых средств подмащивания, грузозахватных устройств, средств контейнеризации и тары;
2) последовательность выполнения работ с учетом обеспечения устойчивости возводимых конструкций;
3) определение конструкции и мест установки средств защиты от падения работника с высоты и падения предметов в непосредственной близости от здания;
4) дополнительные меры безопасности по обеспечению устойчивости каменной кладки в холодное время года."
PSR_255.,"Кладку необходимо вести с междуэтажных перекрытий или средств подмащивания. Высота каждого яруса стены устанавливается с таким расчетом, чтобы уровень кладки после каждого поднятия средств подмащивания был не менее чем на два ряда выше уровня нового рабочего настила."
PSR_256.,"Конструкция средств подмащивания и допустимые нагрузки на них должны соответствовать требованиям, предусмотренным в организационно-технологической документации.
Запрещается выполнять кладку, находясь на стене здания."
PSR_257.,"Кладку карнизов, выступающих из плоскости стены здания более чем на 30 см, следует осуществлять с наружных лесов или навесных средств подмащивания, имеющих ширину рабочего настила не менее 0,6 м. Материалы следует располагать на средствах подмащивания, установленных с внутренней стороны стены здания."
PSR_258.,"При кладке стен здания на высоту до 0,7 м от рабочего настила и расстоянии от уровня кладки с внешней стороны до поверхности земли (перекрытия) более 1,8 м необходимо применять ограждающие (улавливающие) устройства, а при невозможности их применения - использовать соответствующие системы обеспечения безопасности работ на высоте."
PSR_259.,"При перемещении и подаче на рабочие места подъемными сооружениями кирпича, керамических камней и мелких блоков необходимо применять поддоны, контейнеры и грузозахватные устройства, предусмотренные организационно-технологической документацией, имеющие приспособления, исключающие падение груза при подъеме."
PSR_260.,"Работы, связанные с установкой, очисткой или снятием защитных козырьков, должны производиться с применением средств защиты в соответствии с требованиями Правил.
Ходить по козырькам, использовать их в качестве подмостей, а также складывать на них материалы не допускается."
PSR_261.,"Обрабатывать естественные камни в пределах территории строительной площадки необходимо в специально выделенных местах, в которых не допускается нахождение работников, не участвующих в данной работе. Рабочие места, расположенные на расстоянии менее 3 м друг от друга, должны быть разделены защитными экранами."
PSR_262.,"Кладка стен ниже и на уровне перекрытия, устраиваемого из сборных железобетонных плит, должна производиться с подмостей нижележащего этажа.
Не допускается монтировать плиты перекрытия без предварительно выложенного из кирпича бортика на два ряда выше укладываемых плит."
PSR_263.,Расшивку наружных швов кладки необходимо выполнять с перекрытия или средств подмащивания после укладки каждого ряда кладки. Работникам запрещается находиться на стене здания во время проведения этой операции.
PSR_264.,"Установка креплений карниза, облицовочных плит, а также опалубки кирпичных перемычек должна выполняться в соответствии с рабочей документацией.
Снимать временные крепления элементов карниза, а также опалубки кирпичных перемычек допускается после затвердевания бетона до прочности, установленной организационно-технологической документацией."
PSR_265.,"При облицовке стен здания крупными бетонными плитами необходимо соблюдать требования, установленные проектной и технологической документацией."
PSR_266.,"При кладке или облицовке наружных стен многоэтажных зданий запрещается производство работ во время грозы, снегопада, тумана, исключающих видимость в пределах фронта работ, или при ветре скоростью более 15 м/с."
PSR_267.,"Для каменных конструкций, выполненных способом замораживания, в организационно-технологической документации должен быть определен способ оттаивания конструкций (искусственный или естественный) и указаны мероприятия по обеспечению устойчивости и геометрической неизменяемости конструкций на период оттаивания и набора прочности раствора."
PSR_268.,"В период естественного оттаивания и твердения бетона в каменных конструкциях, выполненных способом замораживания, следует установить постоянное наблюдение за ним. Пребывание в здании или сооружении работников, не участвующих в мероприятиях по обеспечению устойчивости указанных конструкций, не допускается."
PSR_269.,"Работодатель обязан в рамках СУОТ с учетом пункта 5 Правил проанализировать опасности и их источники, представляющие угрозу жизни и здоровью работников при выполнении отделочных работ (штукатурных, малярных, облицовочных, стекольных)."
PSR_270.,"При наличии профессиональных рисков, вызванных установленными опасностями, безопасность отделочных работ должна быть обеспечена на основе выполнения требований по охране труда, содержащихся в проектной и организационно-технологической документации на строительное производство:
1) организация рабочих мест, обеспечение их необходимыми средствами подмащивания и другими средствами малой механизации, необходимыми для производства работ;
2) при применении составов, содержащих вредные и пожароопасные вещества, должны быть приняты меры по обеспечению вентиляции и пожаробезопасности."
PSR_271.,"Рабочие места для выполнения отделочных работ на высоте должны быть оборудованы средствами подмащивания и лестницами-стремянками для подъема на них.
Запрещается выполнять отделочные работы с неинвентарных средств подмащивания."
PSR_272.,"При работе с вредными или огнеопасными и взрывоопасными материалами следует непрерывно проветривать помещения во время работы, а также в течение 1 часа после ее окончания, применяя естественную или искусственную вентиляцию."
PSR_273.,"Места, над которыми производятся стекольные или облицовочные работы, необходимо ограждать.
Запрещается производить остекление или облицовочные работы на нескольких ярусах по одной вертикали."
PSR_274.,"В местах применения окрасочных составов, образующих взрывоопасные пары, электропроводка и электрооборудование должны быть обесточены или выполнены во взрывобезопасном исполнении, работа с использованием огня в этих помещениях не допускается."
